Chr	Gene	Expression	Significance
1	Depdc2	9.192293	NS
1	Sulf1	9.6564245	NS
1	Rpl7	8.754888	0.050626416
1	Phf3	8.426265	NS
1	Khdrbs2	8.942514	NS
1	Prim2	9.6402445	NS
1	Hs6st1	9.5961895	0.03441748
1	BC050210	8.7414665	NS
1	Tmem131	8.991522	NS
1	Aff3	10.770664	NS
1	Map4k4	9.948367	0.09792293
1	Fhl2	8.491853	NS
1	Uxs1	8.717677	NS
1	Stk17b	8.413628	NS
1	Hecw2	9.85331	NS
1	Satb2	8.707359	NS
1	Wdr12	8.438791	NS
1	Pard3b	10.390169	NS
1	Klf7	8.7911625	NS
1	Rpe	8.3531475	NS
1	Bard1	8.906891	NS
1	Mreg	9.405142	0.06723902
1	Xrcc5	8.2946205	NS
1	Zfp142	8.2946205	NS
1	Wnt6	8.696967	NS
1	Epha4	9.588715	NS
1	Wdfy1	8.379378	NS
1	Irs1	8.550747	NS
1	5033414K04Rik	9.147204	NS
1	Neu2	10.210671	NS
1	Inpp5d	9.259744	NS
1	Sh3bp4	10.070121	0.036882605
1	Hdac4	8.84235	NS
1	Gpc1	8.330916	NS
1	C230078M14Rik	8.375039	NS
1	Clasp1	10.057992	NS
1	Ralb	8.588715	NS
1	D130011D22Rik	8.804131	NS
1	Zranb3	9.126704	NS
1	Mcm6	8.348728	NS
1	Dars	8.5961895	NS
1	Mapkapk2	8.515699	NS
1	Srgap2	8.968667	NS
1	Nfasc	9.129283	NS
1	Pik3c2b	9.187352	NS
1	Ppp1r15b	9.283089	0.09689293
1	Phlda3	9.014021	NS
1	Aspm	8.636624	NS
1	Nmnat2	10.338737	NS
1	Lamc1	9.988685	0.060389835
1	Cacna1e	9.447083	NS
1	Abl2	9.108524	NS
1	Rabgap1l	9.96145	NS
1	Gas5	9.312883	0.039339833
1	Dnm3	10.173677	NS
1	Bat2d	8.921841	NS
1	Scyl3	8.519636	NS
1	Gpa33	8.682995	NS
1	C030014K22Rik	8.807355	NS
1	Nos1ap	9.804131	NS
1	Fh1	8.361943	NS
1	Smyd3	11.055961	NS
1	Lin9	8.379378	NS
1	Nvl	8.317412	NS
1	Capn2	8.906891	NS
1	Tgfb2	8.455327	NS
1	2810430M08Rik	8.879583	NS
1	Esrrg	8.909893	NS
1	Ush2a	10.620219	NS
1	Ppp2r5a	8.348728	NS
1	Nek2	8.285402	NS
1	Frmd4a	9.861087	NS
1	Nudt5	8.5622425	NS
1	St8sia6	8.442944	NS
1	Arl5b	8.61471	NS
1	Dnajc1	8.924812	NS
1	Pip5k2a	9.392317	NS
1	Cacna1b	9.696967	NS
1	C430004E15Rik	8.442944	NS
1	Brd3	8.507794	NS
1	Ralgds	9.038919	NS
1	Tsc1	8.388017	NS
1	1190002A17Rik	8.879583	NS
1	Crsp8	9.915879	NS
1	Rapgef1	10.2772875	0.08665017
1	Trub2	8.603626	NS
1	Asb6	8.5961895	NS
1	Prrx2	8.3706875	NS
1	Fnbp1	10.279611	0.030048275
1	Freq	8.885696	NS
1	Abl1	9.390169	NS
1	Lamc3	8.375039	NS
1	Stxbp1	8.451211	NS
1	9130404D14Rik	9.584963	0.05167693
1	Lrsam1	8.2946205	NS
1	Pbx3	9.224002	NS
1	Zbtb26	9.057992	0.08888534
1	1700123D08Rik	9.6510515	0.04527155
1	A930041I02Rik	8.569856	NS
1	Arhgap15	9.804131	NS
1	Rnd3	8.744834	NS
1	Neb	8.870365	NS
1	Cacnb4	9.571753	NS
1	Pkp4	10.120238	NS
1	Pla2r1	8.303781	NS
1	Itgb6	8.491853	NS
1	Cobll1	8.857981	NS
1	Lrp2	9.58684	NS
1	Gorasp2	8.61471	NS
1	Pdk1	9.172428	0.08839538
1	B230120H23Rik	9.182394	NS
1	Sp3	8.312883	NS
1	Hnrpa3	8.4998455	0.07200643
1	ENSMUSG00000075270	9.942514	NS
1	Ttn	8.665337	NS
1	Zfp533	9.94398	NS
1	Pde1a	8.721099	NS
1	Ssrp1	8.523562	NS
1	D2Ertd391e	8.503826	NS
1	Creb3l1	8.915879	NS
1	Trp53i11	8.523562	NS
1	Ext2	9.036174	NS
1	Abtb2	9.554589	NS
1	Gpiap1	8.807355	NS
1	Mpped2	9.144658	NS
1	Fmn1	9.764872	NS
1	Arhgap11a	8.61471	NS
1	Aqr	8.665337	NS
1	Bub1b	8.748193	NS
1	1200015F23Rik	8.438791	NS
1	Tyro3	8.581201	NS
1	Lrrc57	8.3706875	0.07104541
1	Ttbk2	9.675957	0.05497152
1	Casc4	8.4346285	NS
1	4930424G05Rik	8.507794	NS
1	Fbn1	9.326429	NS
1	Galk2	8.523562	NS
1	Trpm7	8.5961895	NS
1	Ascc3l1	8.577429	NS
1	Slc20a1	8.543032	NS
1	Snrpb	8.707359	NS
1	Ebf4	8.554589	0.05384363
1	Vps16	8.330916	NS
1	Cds2	9.326429	0.06500823
1	Tasp1	9.1674185	NS
1	Esf1	8.511753	NS
1	Rrbp1	9.2526655	NS
1	Csrp2bp	8.724514	NS
1	Slc24a3	10.04576	NS
1	Rin2	8.918863	NS
1	Xrn2	8.8008995	NS
1	Abhd12	8.78136	NS
1	5430432M24Rik	8.535275	NS
